,Year,fema_declaration_string,disaster_number,state,declaration_type,declaration_date,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,disaster_closeout_date,fips,place_code,designated_area,declaration_request_number,last_ia_filing_date,hash,last_refresh,id,Death toll,Damage costUS$,Main article,Location,Notes
61098,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48473.0,99473.0,Waller (County),21009.0,,f575eb85931df31a4e2a988f9989d245b8233240,2022-04-26T19:01:43Z,60c3b862a0ee349d710aedaf,,,,,
61096,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48499.0,99499.0,Wood (County),21009.0,,fde4a13272da31e4edc676e4eeca2981d1e67a83,2022-04-26T19:01:43Z,60c3b862a0ee349d710aedf2,,,,,
61095,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48487.0,99487.0,Wilbarger (County),21009.0,,4594140f1d87848e4cdf6fa81e54a105d5947884,2022-04-26T19:01:43Z,60c3b862a0ee349d710aedd7,,,,,
61093,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48461.0,99461.0,Upton (County),21009.0,,3558a09dcc1c28d67b20e831ee9497a5cc2756a7,2022-04-26T19:01:43Z,60c3b862a0ee349d710aed8e,,,,,
61092,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48485.0,99485.0,Wichita (County),21009.0,,1935c5ce6fb10f53bfe9249925c75729cb9cb752,2022-04-26T19:01:43Z,60c3b862a0ee349d710aedcd,,,,,
61091,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48491.0,99491.0,Williamson (County),21009.0,,bbba1e96dd97a1cae7ecd811304f7dfba8c42175,2022-04-26T19:01:43Z,60c3b862a0ee349d710aede2,,,,,
61090,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48507.0,99507.0,Zavala (County),21009.0,,aec1b1e817b5e7bd98a8a3b84162f9dca2c8f46e,2022-04-26T19:01:43Z,60c3b862a0ee349d710aedff,,,,,
61089,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48501.0,99501.0,Yoakum (County),21009.0,,bf7f1eb817e8d14d8195060c4051716cc64c50b4,2022-04-26T19:01:43Z,60c3b862a0ee349d710aedf6,,,,,
61088,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48493.0,99493.0,Wilson (County),21009.0,,0cff03602a448b7b09db53161d989d4bf91f416a,2022-04-26T19:01:43Z,60c3b862a0ee349d710aede7,,,,,
61102,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48455.0,99455.0,Trinity (County),21009.0,,7b4c6ceaf3de1147c2b66325b28290a5f8fda748,2022-04-26T19:01:43Z,60c3b862a0ee349d710aed71,,,,,
